"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"51_8013","Power Plant Operators","",34400,57020,2007,"51"
"17_3021","Aerospace Engineering And Operations Technicians","",7870,56780,2007,"17"
"13_1079","Human Resources, Training, And Labor Relations Specialists, All Other","",211770,56740,2007,"13"
"27_2042","Musicians And Singers","",47520,56721.6,2007,"27"
"33_1011","First-line Supervisors/managers Of Correctional Officers","",41000,56510,2007,"33"
"23_1022","Arbitrators, Mediators, And Conciliators","",8810,56380,2007,"23"
"13_1023","Purchasing Agents, Except Wholesale, Retail, And Farm Products","",281950,56060,2007,"13"
"13_1072","Compensation, Benefits, And Job Analysis Specialists","",109870,55740,2007,"13"
"17_3029","Engineering Technicians, Except Drafters, All Other","",78140,55730,2007,"17"
"33_3031","Fish And Game Wardens","",7500,55720,2007,"33"
"19_3091","Anthropologists And Archeologists","",5250,55490,2007,"19"
"13_1031","Claims Adjusters, Examiners, And Investigators","",279400,55470,2007,"13"
"19_4041","Geological And Petroleum Technicians","",13060,55330,2007,"19"
"41_9022","Real Estate Sales Agents","",172030,55090,2007,"41"
"27_3041","Editors","",105920,55020,2007,"27"
"19_3093","Historians","",3600,54630,2007,"19"
"23_2099","Legal Support Workers, All Other","",39670,54560,2007,"23"
"53_4021","Railroad Brake, Signal, And Switch Operators","",23120,54530,2007,"53"
"51_8092","Gas Plant Operators","",13190,54510,2007,"51"
"17_1021","Cartographers And Photogrammetrists","",11460,54480,2007,"17"
"17_1022","Surveyors","",56670,54450,2007,"17"
"19_1011","Animal Scientists","",4210,54290,2007,"19"
"27_4014","Sound Engineering Technicians","",15490,54220,2007,"27"
"27_4099","Media And Communication Equipment Workers, All Other","",18580,54090,2007,"27"
"19_1032","Foresters","",10510,54030,2007,"19"
"13_1021","Purchasing Agents And Buyers, Farm Products","",12930,53980,2007,"13"
"27_2041","Music Directors And Composers","",9110,53970,2007,"27"
"13_1022","Wholesale And Retail Buyers, Except Farm Products","",132550,53580,2007,"13"
"11_9141","Property, Real Estate, And Community Association Managers","",159660,53530,2007,"11"
"51_8093","Petroleum Pump System Operators, Refinery Operators, And Gaugers","",43270,53420,2007,"51"
"13_1151","Training And Development Specialists","",202820,53040,2007,"13"
"25_2043","Special Education Teachers, Secondary School","",141330,53020,2007,"25"
"29_1129","Therapists, All Other","",11580,52930,2007,"29"
"25_4021","Librarians","",148800,52850,2007,"25"
"13_1041","Compliance Officers, Except Agriculture, Construction, Health And Safety, And Transportation","",231910,52740,2007,"13"
"13_1071","Employment, Recruitment, And Placement Specialists","",193620,52710,2007,"13"
"33_2021","Fire Inspectors And Investigators","",12980,52640,2007,"33"
"53_1031","First-line Supervisors/managers Of Transportation And Material-moving Machine And Vehicle Operators","",223710,52510,2007,"53"
"17_3023","Electrical And Electronic Engineering Technicians","",162460,52470,2007,"17"
"25_2031","Secondary School Teachers, Except Special And Vocational Education","",1058870,52450,2007,"25"
"29_2011","Medical And Clinical Laboratory Technologists","",163270,52410,2007,"29"
"13_2021","Appraisers And Assessors Of Real Estate","",66210,52290,2007,"13"
"41_3011","Advertising Sales Agents","",161440,52290,2007,"41"
"25_2032","Vocational Education Teachers, Secondary School","",97550,52250,2007,"25"
"13_1032","Insurance Appraisers, Auto Damage","",12150,52020,2007,"13"
"49_2022","Telecommunications Equipment Installers And Repairers, Except Line Installers","",189290,51760,2007,"49"
"51_1011","First-line Supervisors/managers Of Production And Operating Workers","",666850,51740,2007,"51"
"17_3012","Electrical And Electronics Drafters","",32350,51710,2007,"17"
"21_1012","Educational, Vocational, And School Counselors","",232260,51690,2007,"21"
"49_9051","Electrical Power-line Installers And Repairers","",109990,51690,2007,"49"
"25_2042","Special Education Teachers, Middle School","",100160,51610,2007,"25"
"47_2072","Pile-driver Operators","",5050,51580,2007,"47"
"13_2081","Tax Examiners, Collectors, And Revenue Agents","",65750,51510,2007,"13"
"49_9092","Commercial Divers","",1980,51510,2007,"49"
"13_1061","Emergency Management Specialists","",11610,51470,2007,"13"
"47_2011","Boilermakers","",18650,51420,2007,"47"
"17_3026","Industrial Engineering Technicians","",74930,51410,2007,"17"
"49_9097","Signal And Track Switch Repairers","",6090,51290,2007,"49"
"25_2041","Special Education Teachers, Preschool, Kindergarten, And Elementary School","",219930,51230,2007,"25"
"29_2037","Radiologic Technologists And Technicians","",200370,51150,2007,"29"
"11_9081","Lodging Managers","",31890,51140,2007,"11"
"51_8091","Chemical Plant And System Operators","",48030,50950,2007,"51"
"29_1126","Respiratory Therapists","",101180,50930,2007,"29"
"33_3051","Police And Sheriff's Patrol Officers","",625880,50670,2007,"33"
"25_2022","Middle School Teachers, Except Special And Vocational Education","",652560,50630,2007,"25"
"27_1019","Artists And Related Workers, All Other","",7910,50520,2007,"27"
"47_4011","Construction And Building Inspectors","",95890,50440,2007,"47"
"27_1029","Designers, All Other","",11890,50420,2007,"27"
"19_4092","Forensic Science Technicians","",12030,50310,2007,"19"
"27_1025","Interior Designers","",52620,50190,2007,"27"
"25_2021","Elementary School Teachers, Except Special Education","",1538030,50040,2007,"25"
"25_4012","Curators","",10120,50040,2007,"25"
"29_1031","Dietitians And Nutritionists","",52800,50030,2007,"29"
"27_2011","Actors","",44860,49732.8,2007,"27"
"49_3011","Aircraft Mechanics And Service Technicians","",118780,49670,2007,"49"
"53_4012","Locomotive Firers","",580,49660,2007,"53"
"33_3052","Transit And Railroad Police","",5530,49500,2007,"33"
"17_3027","Mechanical Engineering Technicians","",46230,49290,2007,"17"
"25_1194","Vocational Education Teachers, Postsecondary","",112300,49150,2007,"25"
"51_8021","Stationary Engineers And Boiler Operators","",40370,48700,2007,"51"
"11_9051","Food Service Managers","",191460,48660,2007,"11"
"49_9044","Millwrights","",49360,48660,2007,"49"
"15_2091","Mathematical Technicians","",1080,48490,2007,"15"
"25_2023","Vocational Education Teachers, Middle School","",15260,48460,2007,"25"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1761270,48410,2007,"27"
"23_2091","Court Reporters","",20120,48380,2007,"23"
"49_9069","Precision Instrument And Equipment Repairers, All Other","",13640,48320,2007,"49"
"49_2091","Avionics Technicians","",16300,48240,2007,"49"
"17_3024","Electro-mechanical Technicians","",15730,48120,2007,"17"
"27_1013","Fine Artists, Including Painters, Sculptors, And Illustrators","",10500,48110,2007,"27"
"47_2111","Electricians","",624560,48100,2007,"47"
"21_1092","Probation Officers And Correctional Treatment Specialists","",94120,47980,2007,"21"
"25_3011","Adult Literacy, Remedial Education, And GED Teachers And Instructors","",72240,47830,2007,"25"
"25_2012","Kindergarten Teachers, Except Special Education","",170880,47750,2007,"25"
"53_4041","Subway And Streetcar Operators","",6600,47740,2007,"53"
"29_9099","Healthcare Practitioners And Technical Workers, All Other","",53640,47710,2007,"29"
"49_2094","Electrical And Electronics Repairers, Commercial And Industrial Equipment","",79150,47630,2007,"49"
"27_1027","Set And Exhibit Designers","",8620,47620,2007,"27"
"43_1011","First-line Supervisors/managers Of Office And Administrative Support Workers","",1378240,47620,2007,"43"
"23_2011","Paralegals And Legal Assistants","",241270,47600,2007,"23"
"47_2152","Plumbers, Pipefitters, And Steamfitters","",435010,47350,2007,"47"
"17_3019","Drafters, All Other","",23280,47340,2007,"17"
"21_1091","Health Educators","",61290,47340,2007,"21"
"13_1121","Meeting And Convention Planners","",45490,47180,2007,"13"
"21_1029","Social Workers, All Other","",64990,47170,2007,"21"
"33_1099","First-line Supervisors/managers, Protective Service Workers, All Other","",45750,46910,2007,"33"
"51_8099","Plant And System Operators, All Other","",13290,46780,2007,"51"
"17_3013","Mechanical Drafters","",74260,46690,2007,"17"
"25_0000","Education, Training, And Library Occupations","major",8316360,46610,2007,"25"
"27_4031","Camera Operators, Television, Video, And Motion Picture","",19990,46570,2007,"27"
"49_9052","Telecommunications Line Installers And Repairers","",160250,46570,2007,"49"
"29_2031","Cardiovascular Technologists And Technicians","",46980,46530,2007,"29"
"51_4111","Tool And Die Makers","",92560,46520,2007,"51"
"25_4011","Archivists","",5420,46420,2007,"25"
"21_1022","Medical And Public Health Social Workers","",120060,46320,2007,"21"
"49_9012","Control And Valve Installers And Repairers, Except Mechanical Door","",43160,46240,2007,"49"
"29_9012","Occupational Health And Safety Technicians","",10260,46200,2007,"29"
"47_2021","Brickmasons And Blockmasons","",116290,45800,2007,"47"
"47_2221","Structural Iron And Steel Workers","",65100,45730,2007,"47"
"27_3099","Media And Communication Workers, All Other","",24420,45720,2007,"27"
"47_5012","Rotary Drill Operators, Oil And Gas","",22600,45560,2007,"47"
"27_1024","Graphic Designers","",201080,45340,2007,"27"
"21_1013","Marriage And Family Therapists","",23340,45310,2007,"21"
"15_1150","Computer Support Specialists","",525570,45300,2007,"15"
"17_3011","Architectural And Civil Drafters","",111460,45280,2007,"17"
"31_2011","Occupational Therapist Assistants","",25130,45180,2007,"31"
"49_3043","Rail Car Repairers","",23190,45120,2007,"49"
"51_4012","Numerical Tool And Process Control Programmers","",17280,44800,2007,"51"
"53_1011","Aircraft Cargo Handling Supervisors","",4690,44630,2007,"53"
"53_7071","Gas Compressor And Gas Pumping Station Operators","",4230,44590,2007,"53"
"11_9031","Education Administrators, Preschool And Child Care Center/program","",47980,44430,2007,"11"
"31_2021","Physical Therapist Assistants","",59120,44340,2007,"31"
"25_9021","Farm And Home Management Advisors","",12050,44300,2007,"25"
"39_1011","Gaming Supervisors","",25800,44290,2007,"39"
"43_5051","Postal Service Clerks","",79500,44290,2007,"43"
"51_9011","Chemical Equipment Operators And Tenders","",52620,44250,2007,"51"
"49_2093","Electrical And Electronics Installers And Repairers, Transportation Equipment","",18160,44210,2007,"49"
"51_2011","Aircraft Structure, Surfaces, Rigging, And Systems Assemblers","",34410,44180,2007,"51"
"33_2011","Fire Fighters","",289710,44130,2007,"33"
"43_5052","Postal Service Mail Carriers","",348070,44030,2007,"43"
"49_9041","Industrial Machinery Mechanics","",266550,44020,2007,"49"
"47_5061","Roof Bolters, Mining","",4130,43990,2007,"47"
"51_4061","Model Makers, Metal And Plastic","",9270,43990,2007,"51"
"17_3022","Civil Engineering Technicians","",88030,43890,2007,"17"
"47_2082","Tapers","",37280,43870,2007,"47"
"47_5041","Continuous Mining Machine Operators","",9830,43800,2007,"47"
"25_9011","Audio-visual Collections Specialists","",6530,43770,2007,"25"
"21_2011","Clergy","",40960,43720,2007,"21"
"49_9062","Medical Equipment Repairers","",34080,43580,2007,"49"
"17_3025","Environmental Engineering Technicians","",21970,43570,2007,"17"
"27_3022","Reporters And Correspondents","",51620,43170,2007,"27"
"47_5031","Explosives Workers, Ordnance Handling Experts, And Blasters","",5750,43020,2007,"47"
"53_1021","First-line Supervisors/managers Of Helpers, Laborers, And Material Movers, Hand","",184400,43020,2007,"53"
"53_7021","Crane And Tower Operators","",45720,42940,2007,"53"
"19_3022","Survey Researchers","",22140,42880,2007,"19"
"49_3042","Mobile Heavy Equipment Mechanics, Except Engines","",124180,42790,2007,"49"
"33_9021","Private Detectives And Investigators","",37410,42660,2007,"33"
"47_2171","Reinforcing Iron And Rebar Workers","",28270,42640,2007,"47"
"47_2211","Sheet Metal Workers","",167730,42640,2007,"47"
"11_9012","Farmers And Ranchers","",340,42480,2007,"11"
"19_4031","Chemical Technicians","",64450,42420,2007,"19"
"19_4091","Environmental Science And Protection Technicians, Including Health","",33950,42190,2007,"19"
"47_2073","Operating Engineers And Other Construction Equipment Operators","",403620,42060,2007,"47"
"49_2021","Radio Mechanics","",5570,42020,2007,"49"
"13_2071","Loan Counselors","",30150,41990,2007,"13"
"47_5099","Extraction Workers, All Other","",8890,41990,2007,"47"
"53_7033","Loading Machine Operators, Underground Mining","",2770,41980,2007,"53"
"21_1021","Child, Family, And School Social Workers","",265090,41920,2007,"21"
"49_9045","Refractory Materials Repairers, Except Brickmasons","",2700,41910,2007,"49"
"41_9799","Sales And Related Workers, All Other","",151890,41870,2007,"41"
"37_1012","First-line Supervisors/managers Of Landscaping, Lawn Service, And Groundskeeping Workers","",110340,41730,2007,"37"
"27_3091","Interpreters And Translators","",33680,41690,2007,"27"
"47_5049","Mining Machine Operators, All Other","",4170,41660,2007,"47"
"47_4061","Rail-track Laying And Maintenance Equipment Operators","",14050,41600,2007,"47"
"29_2054","Respiratory Therapy Technicians","",17610,41590,2007,"29"
"47_2132","Insulation Workers, Mechanical","",29110,41480,2007,"47"
"53_7111","Shuttle Car Operators","",2660,41300,2007,"53"
"47_2031","Carpenters","",969670,41260,2007,"47"
"19_4099","Life, Physical, And Social Science Technicians, All Other","",59910,41230,2007,"19"
"23_2093","Title Examiners, Abstractors, And Searchers","",62200,41140,2007,"23"
"45_1011","First-line Supervisors/managers Of Farming, Fishing, And Forestry Workers","",20860,41080,2007,"45"
"43_5061","Production, Planning, And Expediting Clerks","",283930,41050,2007,"43"
"53_2022","Airfield Operations Specialists","",6210,40930,2007,"53"
